mpg,cylinders,displacement,horsepower,weight,acceleration,model year, origin,car name
24.0,4,113.0,95.0,2278,15.5,1972,3,toyota corona hardtop
25.0,4,97.5,80.0,2126,17.0,1972,1,dodge colt hardtop
23.0,4,97.0,54.0,2254,23.5,1972,2,volkswagen type 3
20.0,4,140.0,90.0,2408,19.5,1972,1,chevrolet vega
21.0,4,122.0,86.0,2226,16.5,1972,1,ford pinto runabout
13.0,8,350.0,165.0,4274,12.0,1972,1,chevrolet impala
14.0,8,400.0,175.0,4385,12.0,1972,1,pontiac catalina
15.0,8,318.0,150.0,4135,13.5,1972,1,plymouth fury iii
14.0,8,351.0,153.0,4129,13.0,1972,1,ford galaxie 500
17.0,8,304.0,150.0,3672,11.5,1972,1,amc ambassador sst
11.0,8,429.0,208.0,4633,11.0,1972,1,mercury marquis
13.0,8,350.0,155.0,4502,13.5,1972,1,buick lesabre custom
12.0,8,350.0,160.0,4456,13.5,1972,1,oldsmobile delta 88 royale
13.0,8,400.0,190.0,4422,12.5,1972,1,chrysler newport royal
19.0,3,70.0,97.0,2330,13.5,1972,3,mazda rx2 coupe
15.0,8,304.0,150.0,3892,12.5,1972,1,amc matador (sw)
13.0,8,307.0,130.0,4098,14.0,1972,1,chevrolet chevelle concours (sw)
13.0,8,302.0,140.0,4294,16.0,1972,1,ford gran torino (sw)
14.0,8,318.0,150.0,4077,14.0,1972,1,plymouth satellite custom (sw)
18.0,4,121.0,112.0,2933,14.5,1972,2,volvo 145e (sw)
22.0,4,121.0,76.0,2511,18.0,1972,2,volkswagen 411 (sw)
21.0,4,120.0,87.0,2979,19.5,1972,2,peugeot 504 (sw)
26.0,4,96.0,69.0,2189,18.0,1972,2,renault 12 (sw)
22.0,4,122.0,86.0,2395,16.0,1972,1,ford pinto (sw)
28.0,4,97.0,92.0,2288,17.0,1972,3,datsun 510 (sw)
23.0,4,120.0,97.0,2506,14.5,1972,3,toyouta corona mark ii (sw)
28.0,4,98.0,80.0,2164,15.0,1972,1,dodge colt (sw)
27.0,4,97.0,88.0,2100,16.5,1972,3,toyota corolla 1600 (sw)
13.0,8,350.0,175.0,4100,13.0,1973,1,buick century 350
14.0,8,304.0,150.0,3672,11.5,1973,1,amc matador
13.0,8,350.0,145.0,3988,13.0,1973,1,chevrolet malibu
14.0,8,302.0,137.0,4042,14.5,1973,1,ford gran torino
15.0,8,318.0,150.0,3777,12.5,1973,1,dodge coronet custom
12.0,8,429.0,198.0,4952,11.5,1973,1,mercury marquis brougham
13.0,8,400.0,150.0,4464,12.0,1973,1,chevrolet caprice classic
13.0,8,351.0,158.0,4363,13.0,1973,1,ford ltd
14.0,8,318.0,150.0,4237,14.5,1973,1,plymouth fury gran sedan
13.0,8,440.0,215.0,4735,11.0,1973,1,chrysler new yorker brougham
12.0,8,455.0,225.0,4951,11.0,1973,1,buick electra 225 custom
13.0,8,360.0,175.0,3821,11.0,1973,1,amc ambassador brougham
18.0,6,225.0,105.0,3121,16.5,1973,1,plymouth valiant
16.0,6,250.0,100.0,3278,18.0,1973,1,chevrolet nova custom
18.0,6,232.0,100.0,2945,16.0,1973,1,amc hornet
18.0,6,250.0,88.0,3021,16.5,1973,1,ford maverick
23.0,6,198.0,95.0,2904,16.0,1973,1,plymouth duster
26.0,4,97.0,46.0,1950,21.0,1973,2,volkswagen super beetle
11.0,8,400.0,150.0,4997,14.0,1973,1,chevrolet impala
12.0,8,400.0,167.0,4906,12.5,1973,1,ford country
13.0,8,360.0,170.0,4654,13.0,1973,1,plymouth custom suburb
12.0,8,350.0,180.0,4499,12.5,1973,1,oldsmobile vista cruiser
18.0,6,232.0,100.0,2789,15.0,1973,1,amc gremlin
20.0,4,97.0,88.0,2279,19.0,1973,3,toyota carina
21.0,4,140.0,72.0,2401,19.5,1973,1,chevrolet vega
22.0,4,108.0,94.0,2379,16.5,1973,3,datsun 610
18.0,3,70.0,90.0,2124,13.5,1973,3,maxda rx3
19.0,4,122.0,85.0,2310,18.5,1973,1,ford pinto
21.0,6,155.0,107.0,2472,14.0,1973,1,mercury capri v6
26.0,4,98.0,90.0,2265,15.5,1973,2,fiat 124 sport coupe
15.0,8,350.0,145.0,4082,13.0,1973,1,chevrolet monte carlo s
16.0,8,400.0,230.0,4278,9.5,1973,1,pontiac grand prix
29.0,4,68.0,49.0,1867,19.5,1973,2,fiat 128
24.0,4,116.0,75.0,2158,15.5,1973,2,opel manta
20.0,4,114.0,91.0,2582,14.0,1973,2,audi 100ls
19.0,4,121.0,112.0,2868,15.5,1973,2,volvo 144ea
15.0,8,318.0,150.0,3399,11.0,1973,1,dodge dart custom
24.0,4,121.0,110.0,2660,14.0,1973,2,saab 99le
20.0,6,156.0,122.0,2807,13.5,1973,3,toyota mark ii
11.0,8,350.0,180.0,3664,11.0,1973,1,oldsmobile omega
20.0,6,198.0,95.0,3102,16.5,1974,1,plymouth duster
19.0,6,232.0,100.0,2901,16.0,1974,1,amc hornet
15.0,6,250.0,100.0,3336,17.0,1974,1,chevrolet nova
31.0,4,79.0,67.0,1950,19.0,1974,3,datsun b210
26.0,4,122.0,80.0,2451,16.5,1974,1,ford pinto
32.0,4,71.0,65.0,1836,21.0,1974,3,toyota corolla 1200
25.0,4,140.0,75.0,2542,17.0,1974,1,chevrolet vega
16.0,6,250.0,100.0,3781,17.0,1974,1,chevrolet chevelle malibu classic
16.0,6,258.0,110.0,3632,18.0,1974,1,amc matador
18.0,6,225.0,105.0,3613,16.5,1974,1,plymouth satellite sebring
16.0,8,302.0,140.0,4141,14.0,1974,1,ford gran torino
13.0,8,350.0,150.0,4699,14.5,1974,1,buick century luxus (sw)
14.0,8,318.0,150.0,4457,13.5,1974,1,dodge coronet custom (sw)
14.0,8,302.0,140.0,4638,16.0,1974,1,ford gran torino (sw)
14.0,8,304.0,150.0,4257,15.5,1974,1,amc matador (sw)
29.0,4,98.0,83.0,2219,16.5,1974,2,audi fox
26.0,4,79.0,67.0,1963,15.5,1974,2,volkswagen dasher
26.0,4,97.0,78.0,2300,14.5,1974,2,opel manta
31.0,4,76.0,52.0,1649,16.5,1974,3,toyota corona
32.0,4,83.0,61.0,2003,19.0,1974,3,datsun 710
28.0,4,90.0,75.0,2125,14.5,1974,1,dodge colt
24.0,4,90.0,75.0,2108,15.5,1974,2,fiat 128
26.0,4,116.0,75.0,2246,14.0,1974,2,fiat 124 tc
24.0,4,120.0,97.0,2489,15.0,1974,3,honda civic
26.0,4,108.0,93.0,2391,15.5,1974,3,subaru
31.0,4,79.0,67.0,2000,16.0,1974,2,fiat x1.9
19.0,6,225.0,95.0,3264,16.0,1975,1,plymouth valiant custom
18.0,6,250.0,105.0,3459,16.0,1975,1,chevrolet nova
15.0,6,250.0,72.0,3432,21.0,1975,1,mercury monarch
15.0,6,250.0,72.0,3158,19.5,1975,1,ford maverick
16.0,8,400.0,170.0,4668,11.5,1975,1,pontiac catalina
15.0,8,350.0,145.0,4440,14.0,1975,1,chevrolet bel air
16.0,8,318.0,150.0,4498,14.5,1975,1,plymouth grand fury
14.0,8,351.0,148.0,4657,13.5,1975,1,ford ltd
17.0,6,231.0,110.0,3907,21.0,1975,1,buick century
16.0,6,250.0,105.0,3897,18.5,1975,1,chevroelt chevelle malibu
15.0,6,258.0,110.0,3730,19.0,1975,1,amc matador
18.0,6,225.0,95.0,3785,19.0,1975,1,plymouth fury
21.0,6,231.0,110.0,3039,15.0,1975,1,buick skyhawk
20.0,8,262.0,110.0,3221,13.5,1975,1,chevrolet monza 2+2
13.0,8,302.0,129.0,3169,12.0,1975,1,ford mustang ii
29.0,4,97.0,75.0,2171,16.0,1975,3,toyota corolla
23.0,4,140.0,83.0,2639,17.0,1975,1,ford pinto
20.0,6,232.0,100.0,2914,16.0,1975,1,amc gremlin
23.0,4,140.0,78.0,2592,18.5,1975,1,pontiac astro
24.0,4,134.0,96.0,2702,13.5,1975,3,toyota corona
25.0,4,90.0,71.0,2223,16.5,1975,2,volkswagen dasher
24.0,4,119.0,97.0,2545,17.0,1975,3,datsun 710
18.0,6,171.0,97.0,2984,14.5,1975,1,ford pinto
29.0,4,90.0,70.0,1937,14.0,1975,2,volkswagen rabbit
19.0,6,232.0,90.0,3211,17.0,1975,1,amc pacer
23.0,4,115.0,95.0,2694,15.0,1975,2,audi 100ls
23.0,4,120.0,88.0,2957,17.0,1975,2,peugeot 504
22.0,4,121.0,98.0,2945,14.5,1975,2,volvo 244dl
25.0,4,121.0,115.0,2671,13.5,1975,2,saab 99le
33.0,4,91.0,53.0,1795,17.5,1975,3,honda civic cvcc
28.0,4,107.0,86.0,2464,15.5,1976,2,fiat 131
25.0,4,116.0,81.0,2220,16.9,1976,2,opel 1900
25.0,4,140.0,92.0,2572,14.9,1976,1,capri ii
26.0,4,98.0,79.0,2255,17.7,1976,1,dodge colt
27.0,4,101.0,83.0,2202,15.3,1976,2,renault 12tl
17.5,8,305.0,140.0,4215,13.0,1976,1,chevrolet chevelle malibu classic
16.0,8,318.0,150.0,4190,13.0,1976,1,dodge coronet brougham
15.5,8,304.0,120.0,3962,13.9,1976,1,amc matador
14.5,8,351.0,152.0,4215,12.8,1976,1,ford gran torino
22.0,6,225.0,100.0,3233,15.4,1976,1,plymouth valiant
22.0,6,250.0,105.0,3353,14.5,1976,1,chevrolet nova
24.0,6,200.0,81.0,3012,17.6,1976,1,ford maverick
22.5,6,232.0,90.0,3085,17.6,1976,1,amc hornet
29.0,4,85.0,52.0,2035,22.2,1976,1,chevrolet chevette
24.5,4,98.0,60.0,2164,22.1,1976,1,chevrolet woody
29.0,4,90.0,70.0,1937,14.2,1976,2,vw rabbit
33.0,4,91.0,53.0,1795,17.4,1976,3,honda civic
20.0,6,225.0,100.0,3651,17.7,1976,1,dodge aspen se
18.0,6,250.0,78.0,3574,21.0,1976,1,ford granada ghia
18.5,6,250.0,110.0,3645,16.2,1976,1,pontiac ventura sj
17.5,6,258.0,95.0,3193,17.8,1976,1,amc pacer d/l
29.5,4,97.0,71.0,1825,12.2,1976,2,volkswagen rabbit
32.0,4,85.0,70.0,1990,17.0,1976,3,datsun b-210
28.0,4,97.0,75.0,2155,16.4,1976,3,toyota corolla
26.5,4,140.0,72.0,2565,13.6,1976,1,ford pinto
20.0,4,130.0,102.0,3150,15.7,1976,2,volvo 245
13.0,8,318.0,150.0,3940,13.2,1976,1,plymouth volare premier v8
19.0,4,120.0,88.0,3270,21.9,1976,2,peugeot 504
19.0,6,156.0,108.0,2930,15.5,1976,3,toyota mark ii
16.5,6,168.0,120.0,3820,16.7,1976,2,mercedes-benz 280s
16.5,8,350.0,180.0,4380,12.1,1976,1,cadillac seville
13.0,8,350.0,145.0,4055,12.0,1976,1,chevy c10
13.0,8,302.0,130.0,3870,15.0,1976,1,ford f108
13.0,8,318.0,150.0,3755,14.0,1976,1,dodge d100
31.5,4,98.0,68.0,2045,18.5,1977,3,honda accord cvcc
30.0,4,111.0,80.0,2155,14.8,1977,1,buick opel isuzu deluxe
36.0,4,79.0,58.0,1825,18.6,1977,2,renault 5 gtl
25.5,4,122.0,96.0,2300,15.5,1977,1,plymouth arrow gs
33.5,4,85.0,70.0,1945,16.8,1977,3,datsun f-10 hatchback
17.5,8,305.0,145.0,3880,12.5,1977,1,chevrolet caprice classic
17.0,8,260.0,110.0,4060,19.0,1977,1,oldsmobile cutlass supreme
15.5,8,318.0,145.0,4140,13.7,1977,1,dodge monaco brougham
15.0,8,302.0,130.0,4295,14.9,1977,1,mercury cougar brougham
17.5,6,250.0,110.0,3520,16.4,1977,1,chevrolet concours
20.5,6,231.0,105.0,3425,16.9,1977,1,buick skylark
19.0,6,225.0,100.0,3630,17.7,1977,1,plymouth volare custom
18.5,6,250.0,98.0,3525,19.0,1977,1,ford granada
16.0,8,400.0,180.0,4220,11.1,1977,1,pontiac grand prix lj
15.5,8,350.0,170.0,4165,11.4,1977,1,chevrolet monte carlo landau
15.5,8,400.0,190.0,4325,12.2,1977,1,chrysler cordoba
16.0,8,351.0,149.0,4335,14.5,1977,1,ford thunderbird
29.0,4,97.0,78.0,1940,14.5,1977,2,volkswagen rabbit custom
24.5,4,151.0,88.0,2740,16.0,1977,1,pontiac sunbird coupe
26.0,4,97.0,75.0,2265,18.2,1977,3,toyota corolla liftback
25.5,4,140.0,89.0,2755,15.8,1977,1,ford mustang ii 2+2
30.5,4,98.0,63.0,2051,17.0,1977,1,chevrolet chevette
33.5,4,98.0,83.0,2075,15.9,1977,1,dodge colt m/m
30.0,4,97.0,67.0,1985,16.4,1977,3,subaru dl
30.5,4,97.0,78.0,2190,14.1,1977,2,volkswagen dasher
22.0,6,146.0,97.0,2815,14.5,1977,3,datsun 810
21.5,4,121.0,110.0,2600,12.8,1977,2,bmw 320i
21.5,3,80.0,110.0,2720,13.5,1977,3,mazda rx-4
43.1,4,90.0,48.0,1985,21.5,1978,2,volkswagen rabbit custom diesel
36.1,4,98.0,66.0,1800,14.4,1978,1,ford fiesta
32.8,4,78.0,52.0,1985,19.4,1978,3,mazda glc deluxe
39.4,4,85.0,70.0,2070,18.6,1978,3,datsun b210 gx
36.1,4,91.0,60.0,1800,16.4,1978,3,honda civic cvcc
19.9,8,260.0,110.0,3365,15.5,1978,1,oldsmobile cutlass salon brougham
19.4,8,318.0,140.0,3735,13.2,1978,1,dodge diplomat
20.2,8,302.0,139.0,3570,12.8,1978,1,mercury monarch ghia
19.2,6,231.0,105.0,3535,19.2,1978,1,pontiac phoenix lj
20.5,6,200.0,95.0,3155,18.2,1978,1,chevrolet malibu
20.2,6,200.0,85.0,2965,15.8,1978,1,ford fairmont (auto)
25.1,4,140.0,88.0,2720,15.4,1978,1,ford fairmont (man)
20.5,6,225.0,100.0,3430,17.2,1978,1,plymouth volare
19.4,6,232.0,90.0,3210,17.2,1978,1,amc concord
20.6,6,231.0,105.0,3380,15.8,1978,1,buick century special
20.8,6,200.0,85.0,3070,16.7,1978,1,mercury zephyr
18.6,6,225.0,110.0,3620,18.7,1978,1,dodge aspen
18.1,6,258.0,120.0,3410,15.1,1978,1,amc concord d/l
19.2,8,305.0,145.0,3425,13.2,1978,1,chevrolet monte carlo landau
17.7,6,231.0,165.0,3445,13.4,1978,1,buick regal sport coupe (turbo)
18.1,8,302.0,139.0,3205,11.2,1978,1,ford futura
17.5,8,318.0,140.0,4080,13.7,1978,1,dodge magnum xe
30.0,4,98.0,68.0,2155,16.5,1978,1,chevrolet chevette
27.5,4,134.0,95.0,2560,14.2,1978,3,toyota corona
27.2,4,119.0,97.0,2300,14.7,1978,3,datsun 510
30.9,4,105.0,75.0,2230,14.5,1978,1,dodge omni
21.1,4,134.0,95.0,2515,14.8,1978,3,toyota celica gt liftback
23.2,4,156.0,105.0,2745,16.7,1978,1,plymouth sapporo
23.8,4,151.0,85.0,2855,17.6,1978,1,oldsmobile starfire sx
23.9,4,119.0,97.0,2405,14.9,1978,3,datsun 200-sx
20.3,5,131.0,103.0,2830,15.9,1978,2,audi 5000
17.0,6,163.0,125.0,3140,13.6,1978,2,volvo 264gl
21.6,4,121.0,115.0,2795,15.7,1978,2,saab 99gle
16.2,6,163.0,133.0,3410,15.8,1978,2,peugeot 604sl
31.5,4,89.0,71.0,1990,14.9,1978,2,volkswagen scirocco
29.5,4,98.0,68.0,2135,16.6,1978,3,honda accord lx
21.5,6,231.0,115.0,3245,15.4,1979,1,pontiac lemans v6
19.8,6,200.0,85.0,2990,18.2,1979,1,mercury zephyr 6
22.3,4,140.0,88.0,2890,17.3,1979,1,ford fairmont 4
20.2,6,232.0,90.0,3265,18.2,1979,1,amc concord dl 6
20.6,6,225.0,110.0,3360,16.6,1979,1,dodge aspen 6
17.0,8,305.0,130.0,3840,15.4,1979,1,chevrolet caprice classic
17.6,8,302.0,129.0,3725,13.4,1979,1,ford ltd landau
16.5,8,351.0,138.0,3955,13.2,1979,1,mercury grand marquis
18.2,8,318.0,135.0,3830,15.2,1979,1,dodge st. regis
16.9,8,350.0,155.0,4360,14.9,1979,1,buick estate wagon (sw)
15.5,8,351.0,142.0,4054,14.3,1979,1,ford country squire (sw)
19.2,8,267.0,125.0,3605,15.0,1979,1,chevrolet malibu classic (sw)
18.5,8,360.0,150.0,3940,13.0,1979,1,chrysler lebaron town @ country (sw)
31.9,4,89.0,71.0,1925,14.0,1979,2,vw rabbit custom
34.1,4,86.0,65.0,1975,15.2,1979,3,maxda glc deluxe
35.7,4,98.0,80.0,1915,14.4,1979,1,dodge colt hatchback custom
27.4,4,121.0,80.0,2670,15.0,1979,1,amc spirit dl
25.4,5,183.0,77.0,3530,20.1,1979,2,mercedes benz 300d
23.0,8,350.0,125.0,3900,17.4,1979,1,cadillac eldorado
27.2,4,141.0,71.0,3190,24.8,1979,2,peugeot 504
23.9,8,260.0,90.0,3420,22.2,1979,1,oldsmobile cutlass salon brougham
34.2,4,105.0,70.0,2200,13.2,1979,1,plymouth horizon
34.5,4,105.0,70.0,2150,14.9,1979,1,plymouth horizon tc3
31.8,4,85.0,65.0,2020,19.2,1979,3,datsun 210
37.3,4,91.0,69.0,2130,14.7,1979,2,fiat strada custom
28.4,4,151.0,90.0,2670,16.0,1979,1,buick skylark limited
28.8,6,173.0,115.0,2595,11.3,1979,1,chevrolet citation
26.8,6,173.0,115.0,2700,12.9,1979,1,oldsmobile omega brougham
33.5,4,151.0,90.0,2556,13.2,1979,1,pontiac phoenix
41.5,4,98.0,76.0,2144,14.7,1980,2,vw rabbit
38.1,4,89.0,60.0,1968,18.8,1980,3,toyota corolla tercel
32.1,4,98.0,70.0,2120,15.5,1980,1,chevrolet chevette
37.2,4,86.0,65.0,2019,16.4,1980,3,datsun 310
28.0,4,151.0,90.0,2678,16.5,1980,1,chevrolet citation
26.4,4,140.0,88.0,2870,18.1,1980,1,ford fairmont
24.3,4,151.0,90.0,3003,20.1,1980,1,amc concord
19.1,6,225.0,90.0,3381,18.7,1980,1,dodge aspen
34.3,4,97.0,78.0,2188,15.8,1980,2,audi 4000
29.8,4,134.0,90.0,2711,15.5,1980,3,toyota corona liftback
31.3,4,120.0,75.0,2542,17.5,1980,3,mazda 626
37.0,4,119.0,92.0,2434,15.0,1980,3,datsun 510 hatchback
32.2,4,108.0,75.0,2265,15.2,1980,3,toyota corolla
27.9,4,156.0,105.0,2800,14.4,1980,1,dodge colt
40.8,4,85.0,65.0,2110,19.2,1980,3,datsun 210
44.3,4,90.0,48.0,2085,21.7,1980,2,vw rabbit c (diesel)
43.4,4,90.0,48.0,2335,23.7,1980,2,vw dasher (diesel)
36.4,5,121.0,67.0,2950,19.9,1980,2,audi 5000s (diesel)
30.0,4,146.0,67.0,3250,21.8,1980,2,mercedes-benz 240d
44.6,4,91.0,67.0,1850,13.8,1980,3,honda civic 1500 gl
33.8,4,97.0,67.0,2145,18.0,1980,3,subaru dl
29.8,4,89.0,62.0,1845,15.3,1980,2,vokswagen rabbit
32.7,6,168.0,132.0,2910,11.4,1980,3,datsun 280-zx
23.7,3,70.0,100.0,2420,12.5,1980,3,mazda rx-7 gs
35.0,4,122.0,88.0,2500,15.1,1980,2,triumph tr7 coupe
32.4,4,107.0,72.0,2290,17.0,1980,3,honda accord
27.2,4,135.0,84.0,2490,15.7,1981,1,plymouth reliant
26.6,4,151.0,84.0,2635,16.4,1981,1,buick skylark
25.8,4,156.0,92.0,2620,14.4,1981,1,dodge aries wagon (sw)
23.5,6,173.0,110.0,2725,12.6,1981,1,chevrolet citation
30.0,4,135.0,84.0,2385,12.9,1981,1,plymouth reliant
39.1,4,79.0,58.0,1755,16.9,1981,3,toyota starlet
39.0,4,86.0,64.0,1875,16.4,1981,1,plymouth champ
35.1,4,81.0,60.0,1760,16.1,1981,3,honda civic 1300
32.3,4,97.0,67.0,2065,17.8,1981,3,subaru
37.0,4,85.0,65.0,1975,19.4,1981,3,datsun 210 mpg
37.7,4,89.0,62.0,2050,17.3,1981,3,toyota tercel
34.1,4,91.0,68.0,1985,16.0,1981,3,mazda glc 4
34.7,4,105.0,63.0,2215,14.9,1981,1,plymouth horizon 4
34.4,4,98.0,65.0,2045,16.2,1981,1,ford escort 4w
29.9,4,98.0,65.0,2380,20.7,1981,1,ford escort 2h
33.0,4,105.0,74.0,2190,14.2,1981,2,volkswagen jetta
33.7,4,107.0,75.0,2210,14.4,1981,3,honda prelude
32.4,4,108.0,75.0,2350,16.8,1981,3,toyota corolla
32.9,4,119.0,100.0,2615,14.8,1981,3,datsun 200sx
31.6,4,120.0,74.0,2635,18.3,1981,3,mazda 626
28.1,4,141.0,80.0,3230,20.4,1981,2,peugeot 505s turbo diesel
30.7,6,145.0,76.0,3160,19.6,1981,2,volvo diesel
25.4,6,168.0,116.0,2900,12.6,1981,3,toyota cressida
26.6,8,350.0,105.0,3725,19.0,1981,1,oldsmobile cutlass ls
20.2,6,200.0,88.0,3060,17.1,1981,1,ford granada gl
17.6,6,225.0,85.0,3465,16.6,1981,1,chrysler lebaron salon
28.0,4,112.0,88.0,2605,19.6,1982,1,chevrolet cavalier
27.0,4,112.0,88.0,2640,18.6,1982,1,chevrolet cavalier wagon
34.0,4,112.0,88.0,2395,18.0,1982,1,chevrolet cavalier 2-door
31.0,4,112.0,85.0,2575,16.2,1982,1,pontiac j2000 se hatchback
29.0,4,135.0,84.0,2525,16.0,1982,1,dodge aries se
27.0,4,151.0,90.0,2735,18.0,1982,1,pontiac phoenix
24.0,4,140.0,92.0,2865,16.4,1982,1,ford fairmont futura
36.0,4,105.0,74.0,1980,15.3,1982,2,volkswagen rabbit l
37.0,4,91.0,68.0,2025,18.2,1982,3,mazda glc custom l
31.0,4,91.0,68.0,1970,17.6,1982,3,mazda glc custom
38.0,4,105.0,63.0,2125,14.7,1982,1,plymouth horizon miser
36.0,4,98.0,70.0,2125,17.3,1982,1,mercury lynx l
36.0,4,120.0,88.0,2160,14.5,1982,3,nissan stanza xe
36.0,4,107.0,75.0,2205,14.5,1982,3,honda accord
34.0,4,108.0,70.0,2245,16.9,1982,3,toyota corolla
38.0,4,91.0,67.0,1965,15.0,1982,3,honda civic
32.0,4,91.0,67.0,1965,15.7,1982,3,honda civic (auto)
38.0,4,91.0,67.0,1995,16.2,1982,3,datsun 310 gx
25.0,6,181.0,110.0,2945,16.4,1982,1,buick century limited
38.0,6,262.0,85.0,3015,17.0,1982,1,oldsmobile cutlass ciera (diesel)
26.0,4,156.0,92.0,2585,14.5,1982,1,chrysler lebaron medallion
22.0,6,232.0,112.0,2835,14.7,1982,1,ford granada l
